Model,Seeds Done,Test AUC,Test AUC std,Test AP,Test AP std,Test MAE,Test MAE std,Test RMSE,Test RMSE std,Test R2,Test R2 std,Source dir
HGT+ baseline (Two-Stage),10,0.8548,0.0053,0.8297,0.0054,0.4792,0.0071,0.754,0.0088,0.2228,0.0183,hgtplus_lpnew_jl_defb_portfolio
"HGT+EW (Two-Stage, no AMP)",10,0.8575,0.0055,0.8316,0.006,0.403,0.0023,0.658,0.0051,0.4089,0.0094,hgtplus_ew_ts_noamp
"HGT+ TextFusion (Two-Stage, v2-RA carry)",10,0.871,0.0025,0.8489,0.0026,0.4633,0.0066,0.7193,0.0059,0.2906,0.0115,hgtplus_tf_v2racarry
SimTeG TOA+JacGate s64 (v2-RA carry fixed),10,0.8563,0.0043,0.8333,0.0046,0.4746,0.0057,0.7486,0.0084,0.2351,0.0171,simteg_yours_noew_v2ra_carry_fixed_s64
"SimTeG strip-down (no TOA, no JacGate, no staleness)",10,0.8521,0.004,0.8298,0.0043,0.4838,0.0097,0.7564,0.0115,0.2181,0.0241,simteg_v2ra_carry_fixed_notoa_nojac_nostale_pilot10
TCETF noauxall (pilot10),10,0.8808,0.0052,0.8588,0.0039,0.3992,0.003,0.6504,0.004,0.4221,0.0071,hgtplus_combined_nostaleness_etraj_tcetf_noauxall_full20
TCETF noauxall + notxf (pilot10),10,0.8678,0.006,0.8442,0.0041,0.3992,0.0026,0.6556,0.0035,0.4139,0.0063,hgtplus_combined_nostaleness_etraj_tcetf_noauxall_notxf_pilot10
TCETF noauxall + grad-to-text (pilot10),10,0.8807,0.0025,0.8578,0.0026,0.3989,0.0044,0.6478,0.0035,0.4267,0.0053,hgtplus_combined_nostaleness_etraj_tcetf_noauxall_gradtotext_pilot10
TCETF noauxall + FWD-only (pilot10),10,0.8789,0.0034,0.8554,0.0027,0.4006,0.0027,0.6496,0.0076,0.4238,0.0131,hgtplus_combined_nostaleness_etraj_tcetf_noauxall_fwdonly_pilot10
"HGT+ SpAB + per-fund neg (v2-RA carry, pilot10)",10,0.8724,0.0034,0.8496,0.0027,0.4666,0.0099,0.7184,0.0075,0.2924,0.0157,hgtplus_attn_bias_v2racarry_perfundneg_pilot10
"TCMP+NTF (combined, etraj, v2-RA carry)",10,0.8707,0.0063,0.8484,0.0051,0.4105,0.0022,0.6711,0.0056,0.3849,0.0098,hgtplus_combined_nostaleness_etraj_tcmp_ntf_v2racarry
"TCMP+NTF (nogate, staleness64, v2-RA carry)",10,0.8647,0.0038,0.8392,0.0039,0.4771,0.0059,0.7534,0.0074,0.2216,0.0163,hgtplus_nogate_s64_tcmp_ntf_v2racarry
"TCMP+NTF noauxall (combined, etraj, full20)",10,0.8617,0.0064,0.8384,0.0045,0.4034,0.0052,0.6619,0.0058,0.4024,0.0107,hgtplus_combined_nostaleness_etraj_tcmp_ntf_noauxall_full20
"Heterformer (BERT-base, single seed; fund-mean AUC/AP, full-sparse pooled)",1,0.7745,0.0000,0.0131,0.0000,0.4774,0.0000,0.6785,0.0000,0.1524,0.0000,logs_2005q3_heterformer
"RGCN baseline (Two-Stage, 1-GPU pilot10)",10,0.8321,0.0061,0.7979,0.0073,0.5086,0.0049,0.7952,0.0068,0.1379,0.0146,rgcn_twostage_jl_defb_portfolio
"HAN baseline (Two-Stage, 1-GPU pilot10)",10,0.8118,0.0090,0.7752,0.0100,0.5167,0.0079,0.8046,0.0084,0.1164,0.0189,han_twostage_jl_defb_portfolio
"GCN baseline (Two-Stage, 1-GPU pilot10)",10,0.8028,0.0056,0.7829,0.0046,0.4985,0.0034,0.7852,0.0048,0.1528,0.0112,gcn_twostage_jl_defb_portfolio
"GAT baseline (Two-Stage, 1-GPU pilot10)",10,0.8382,0.0072,0.8062,0.0088,0.5017,0.0213,0.7757,0.0225,0.1778,0.0489,gat_twostage_jl_defb_portfolio
"TAPE concat768 (DeBERTa-base + LoRA, pilot10)",10,0.8526,0.0050,0.8292,0.0062,0.4834,0.0084,0.7539,0.0108,0.2238,0.0221,tape_concat768_deberta_s64_1gpu_pilot10
"CasMLN-EWmsg (Two-Stage)",10,0.8482,0.0066,0.8141,0.0069,0.4188,0.0038,0.6699,0.0039,0.3869,0.0076,cmln_ewmsg_twostage_jl_defb_portfolio/amp_3
"CasMLN-NoEW (Two-Stage)",10,0.8490,0.0050,0.8156,0.0073,0.4981,0.0059,0.7807,0.0091,0.1658,0.0203,cmln_noew_twostage_jl_defb_portfolio/amp_3
"DHSpace (Two-Stage)",10,0.8529,0.0027,0.8240,0.0027,0.4994,0.0029,0.7960,0.0044,0.1349,0.0096,dhspace_lpnew_jl_defb_portfolio
"DySAT (Two-Stage)",10,0.6720,0.0845,0.6384,0.0821,0.5348,0.0396,0.8368,0.0525,0.0423,0.1137,dysat_twostage_jl_defb_portfolio
"HGT+ SpAB no-text (v2-RA carry)",10,0.8515,0.0047,0.8281,0.0041,0.4853,0.0055,0.7588,0.0079,0.2126,0.0164,hgtplus_attn_bias_notextfeat_v2racarry

"HGT+ NoGate + scale=64 (Two-Stage, v2-RA carry)",10,0.8759,0.0022,0.8540,0.0016,0.4541,0.0053,0.7156,0.0064,0.3000,0.0118,hgtplus_combined_nogate_staleness64_v2racarry
"HGT+ Combined + etraj log1p no-present (v2-RA carry)",10,0.8783,0.0068,0.8555,0.0057,0.4030,0.0045,0.6568,0.0054,0.4106,0.0099,hgtplus_combined_nostaleness_etraj_log1p_nopresent_v2racarry
"HGT+ Combined + etraj log1p (v2-RA carry)",10,0.8782,0.0030,0.8571,0.0026,0.4028,0.0025,0.6545,0.0042,0.4154,0.0069,hgtplus_combined_nostaleness_etraj_log1p_v2racarry
"HGT+ Combined + etraj static-raw (v2-RA carry)",10,0.8777,0.0041,0.8567,0.0024,0.4063,0.0053,0.6543,0.0035,0.4154,0.0067,hgtplus_combined_nostaleness_etraj_static_raw_v2racarry
